county,share_white2000
17161,.81343347
17163,.70503283
17165,.93787026
17167,.87536788
17169,.98594093
17171,.99277985
17173,.9864167
17175,.98121184
17177,.88883096
17179,.96729034
17181,.95133978
17183,.84796417
17185,.97426128
17187,.94236237
17189,.98020649
17191,.98263508
17193,.97807825
17195,.89033657
17197,.79461676
17199,.94643402
17201,.8057878
17203,.97994709
18001,.95927382
18003,.82911927
18005,.93003148
18007,.96059918
18009,.98047203
18011,.97217095
18013,.9763819
18015,.96348345
18017,.90325856
18019,.89870614
18021,.98045427
18023,.91722172
18025,.97905123
18027,.96741176
18029,.97737056
18031,.9809472
18033,.96845192
18035,.90324229
18037,.96488845
18039,.84450811
18041,.96885961
18043,.92938423
18045,.98023808
18047,.98704034
18049,.95009112
18051,.96047682
18053,.88450402
18055,.98071575
18057,.93443257
18059,.97754747
18061,.97640729
18063,.95736796
18065,.97560668
18067,.8913998
18069,.97587055
18071,.95213962
18073,.96347749
18075,.96906275
18077,.95675993
18079,.97086746
18081,.96366924
18083,.95921373
18085,.92813182
18087,.95797092
18089,.65668321
18091,.85900259
18093,.97364068
18095,.89066094
18097,.71353006
18099,.92704165
18101,.98612183
18103,.92501271
18105,.89678365
18107,.96349198
18109,.9806208
18111,.95757514
18113,.91297215
18115,.98409903
18117,.97614813
18119,.97720379
18121,.95898789
18123,.96979439
18125,.98682374
18127,.92320031
18129,.97760046
18131,.96645969
18133,.94127631
18135,.97458786
18137,.97898078
18139,.97442406
18141,.81868529
18143,.98173308
18145,.96700418
18147,.97054499
18149,.96307653
18151,.96058035
18153,.93734354
18155,.98258507
18157,.87168968
18159,.97652054
18161,.98470521
18163,.89499879
18165,.98005676
18167,.89991885
18169,.96698284
18171,.98799843
18173,.96838909
18175,.98254389
18177,.91720492
18179,.97374707
18181,.93424386
18183,.97810334
19001,.98440111
19003,.98482668
19005,.95345759
19007,.9753325
19009,.98722297
19011,.98371202
19013,.88120461
19015,.98107332
19017,.97868574
19019,.97986454
19021,.81089216
19023,.98581797
19025,.97786021
19027,.9858138
19029,.98449087
19031,.97887087
19033,.94677639
19035,.97758561
19037,.98535764
19039,.94627446
19041,.97254986
19043,.98432404
19045,.95174778
19047,.88385326
19049,.93354559
19051,.9802776
19053,.95468152
19055,.98771542
19057,.92908394
19059,.98418152
19061,.96564746
19063,.94480294
19065,.96905923
19067,.97409576
19069,.9331463
19071,.96819335
19073,.97380829
19075,.98610193
19077,.98022455
19079,.96043044
19081,.96722239
19083,.96173406
19085,.98199117
19087,.9418925
19089,.98632234
19091,.98102695
19093,.98728377
19095,.98200446
19097,.98526233
19099,.96933329
19101,.94942802
19103,.89184135
19105,.96175236
19107,.98772043
19109,.98269928
19111,.92903656
19113,.93487322
19115,.86171973
19117,.98043454
19119,.98924547
19121,.98178971
19123,.96714479
19125,.96979016
19127,.87887841
19129,.97149736
19131,.98875511
19133,.97883004
19135,.98087066
19137,.9761467
19139,.8560136
19141,.96800756
19143,.97240251
19145,.9498983
19147,.98106033
19149,.97443157
19151,.98021144
19153,.87618655
19155,.94408846
19157,.96147972
19159,.9885295
19161,.98023713
19163,.86951363
19165,.98210406
19167,.96105343
19169,.89078939
19171,.88950968
19173,.95244402
19175,.97846824
19177,.980766
19179,.95229042
19181,.97460991
19183,.96012777
19185,.98271865
19187,.92235577
19189,.96360445
19191,.9739638
19193,.8405301
19195,.97261173
19197,.94150585
20001,.93918145
20003,.96879989
20005,.90136969
20007,.96190715
20009,.88732702
20011,.93294364
20013,.85964125
20015,.93566161
20017,.96039605
20019,.93002981
20021,.91581988
20023,.964297
20025,.94058579
20027,.97222281
20029,.97945976
20031,.96285647
20033,.9689883
20035,.88359153
20037,.92302084
20039,.97470999
20041,.95140433
20043,.94262284
20045,.852184
20047,.88964766
20049,.94480222
20051,.95083529
20053,.91165966
20055,.52889055
20057,.57597351
20059,.93565983
20061,.6192981
20063,.97411823
20065,.94694132
20067,.63189989
20069,.88618594
20071,.87222946
20073,.95792258
20075,.77116102
20077,.96741825
20079,.87859178
20081,.74019039
20083,.9553957
20085,.8944841
20087,.95943958
20089,.98220688
20091,.89542502
20093,.71132201
20095,.9644627
20097,.96247715
20099,.88028705
20101,.97030163
20103,.83568954
20105,.97568476
20107,.96857136
20109,.96224558
20111,.7816326
20113,.95688379
20115,.96055508
20117,.97733653
20119,.86880094
20121,.9516421
20123,.97104675
20125,.85073835
20127,.96179688
20129,.82694507
20131,.97894663
20133,.93406349
20135,.97512966
20137,.92138416
20139,.96382362
20141,.98337823
20143,.96880615
20145,.88465047
20147,.97766531
20149,.94802064
20151,.94224536
20153,.97977072
20155,.89377546
20157,.97978503
20159,.91258699
20161,.82612306
20163,.96564442
20165,.97718942
20167,.96945494
20169,.87244034
20171,.92695314
20173,.77618045
20175,.49512622
20177,.80152285
20179,.97882241
20181,.899988
20183,.98400861
